"#阴阳师手游#
【周年庆充值特惠】鼠鼠们！95折魂玉充值福利来啦！官方充值中心，全场魂玉“95折”、道具“92折”！官方平台，实时到账，安全无忧。
PS：充值后还可以点左上角的“累计充值100%中奖”tab栏参与活动，周年庆福利加码！首充6元必返3元红包，限量1W，先到先得！其他累充有可能抽648元免单、 ​​​",Wed Sep 20 00:37:22 +0800 2023,117,17,3
#阴阳师手游##超话创作官##对弈竞猜# 拿下！ ​​​,Sun Oct 01 18:00:55 +0800 2023,117,49,0
#阴阳师手游# #超话创作官# #对弈竞猜# 这局继续蓝大优势。输的话抽一个评论的小伙伴送花合战。 ​​​,Sun Oct 01 17:02:43 +0800 2023,374,2557,15
#阴阳师手游##超话创作官# 惊天齿甲六连击！这谁顶得住！ ​​​,Sun Oct 01 16:16:07 +0800 2023,836,302,8
#阴阳师手游##超话创作官# 这个共潜怎么样？ ​​​,Sun Oct 01 15:41:10 +0800 2023,160,76,0
#阴阳师手游# #超话创作官# #对弈竞猜# 这局蓝方优势。输的话评论区抽一个欧皇送花合战。 ​​​,Sun Oct 01 14:48:02 +0800 2023,1045,4618,34
#阴阳师手游##超话创作官##对弈竞猜# 拿下两连胜！ ​​​,Sun Oct 01 14:01:17 +0800 2023,555,148,1
#阴阳师手游# #超话创作官# #对弈竞猜# 还记得大明湖畔的明灯十二连吗我压蓝色。输的话评论区抽一个小可爱送花合战。 ​​​,Sun Oct 01 12:58:31 +0800 2023,634,2940,27
#阴阳师手游# #超话创作官# #对弈竞猜# 开门红！拿下！ ​​​,Sun Oct 01 12:01:49 +0800 2023,706,207,11
#阴阳师手游# #超话创作官# #对弈竞猜#第一局五五开，大家随意压，可以压自己区人少的，我压的红。输的话评论区抽一个小可爱送花合战。 ​​​,Sun Oct 01 11:24:29 +0800 2023,720,2313,30
#阴阳师手游# #超话创作官# 三千分只要二十分钟，阵容详细搭配看9.25号视频。 http://t.cn/A6OBQoFX ​​​,Sun Oct 01 09:59:53 +0800 2023,608,226,10
#阴阳师手游##超话创作官#  今天自选推荐这四个加伤魂鸟和应声虫。大家可以晚上樱饼挂bos战，白天自己点999. ​​​,Sun Oct 01 00:11:34 +0800 2023,122,47,0
十月一号上午十点开始第一场对弈。#阴阳师手游##超话创作官# ​​​,Sat Sep 30 22:57:46 +0800 2023,253,107,3
残阳的余晖！ ​​​,Sat Sep 30 18:17:44 +0800 2023,38,4,0
大家999出货了吗？#阴阳师手游# ​​​,Sat Sep 30 15:52:47 +0800 2023,116,74,1
"【周年庆爬塔二阶段】正式服版-佑世鏖战一图流：阵容推荐+收益最大化！
※佑世鏖战：9月30日8点开始，预计持续2天，可获得180w左右积分
※可借式神，不限次数；伤害满5kw则满收益，每日前20次有积分
※999爬塔：10月3日截止，有自选御魂
※破晓时分肉鸽玩法：10月1日截止，结束后不再送宝箱

 ​​​",Sat Sep 30 08:50:37 +0800 2023,185,42,17
恭喜@钮祜禄没钞疯 1名用户等额平分【24元现金】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：http://t.cn/A6O3sdyq,Sat Sep 30 00:50:18 +0800 2023,2,3,0
今天随便刷，门票留到明天招财。#阴阳师手游##超话创作官# ​​​,Sat Sep 30 00:02:41 +0800 2023,53,16,0
#英雄联盟中国队铜牌#只能说为下一届打开了进步空间。 ​​​,Fri Sep 29 16:58:00 +0800 2023,63,15,1
#阴阳师手游##超话创作官# 今日御魂推荐。 ​​​,Fri Sep 29 00:08:10 +0800 2023,47,16,0
#阴阳师手游##超话创作官#  强了好大的十八！！！ ​​​,Thu Sep 28 22:45:23 +0800 2023,112,17,1
#阴阳师手游##超话创作官# 三千分以下阵容的应对，一切阵容都有应对。大家觉得难打的也可以评论。 http://t.cn/A6OuUc3H ​​​,Thu Sep 28 18:16:26 +0800 2023,50,21,6
"#阴阳师手游#
【周年庆充值特惠】鼠鼠们！95折魂玉充值福利来啦！官方充值中心，全场魂玉“95折”、道具“92折”！官方平台，实时到账，安全无忧。
PS：充值后还可以点左上角的“累计充值100%中奖”tab栏参与活动，周年庆福利加码！首充6元必返3元红包，限量1W，先到先得！其他累充有可能抽648元免单、 ​​​",Wed Sep 20 00:37:22 +0800 2023,117,17,3
#阴阳师手游##超话创作官##对弈竞猜# 拿下！ ​​​,Sun Oct 01 18:00:55 +0800 2023,117,49,0
#阴阳师手游# #超话创作官# #对弈竞猜# 这局继续蓝大优势。输的话抽一个评论的小伙伴送花合战。 ​​​,Sun Oct 01 17:02:43 +0800 2023,374,2557,15
#阴阳师手游##超话创作官# 惊天齿甲六连击！这谁顶得住！ ​​​,Sun Oct 01 16:16:07 +0800 2023,836,302,8
#阴阳师手游##超话创作官# 这个共潜怎么样？ ​​​,Sun Oct 01 15:41:10 +0800 2023,160,76,0
#阴阳师手游# #超话创作官# #对弈竞猜# 这局蓝方优势。输的话评论区抽一个欧皇送花合战。 ​​​,Sun Oct 01 14:48:02 +0800 2023,1045,4618,34
